link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,,MPR,truck,Distr.,Volume,TTCs,,,
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,8,1200,47,17.2,34.61354198,-1.086442234,0,1096,44.86601561,1.018193798,0,1113.4,3.549503194,,,0,0.02,8,1200,0,,0,-17.2
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,8,1500,47,51.8,31.91638571,-3.481423302,0,1330.2,38.84657665,1.857140422,1.752142491,1381.8,18.98312255,,,0,0.02,8,1500,20,,0,-31.8
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,8,1800,47,51,31.86329362,-2.742177901,8.047870597,1395.6,38.30323229,2.240523957,26.59074742,1446.6,98.37857021,,,0,0.02,8,1800,289.8,,0,238.8
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,8,2000,47,52.8,32.15380676,-2.601733793,10.53589644,1399.6,38.10406157,2.23672288,28.77055535,1451.4,104.0584697,,,0,0.02,8,2000,300.6,,0,247.8
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,1,600,47,14,35.75426724,-2.015334496,0,540.4,50.2197343,-1.14731698,0,555,0.650696521,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,1,800,47,28,36.27959101,-1.517317234,0,705,49.26257855,-0.917551315,0,733.2,0.760763242,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,1,1000,47,47.6,35.95689934,-2.988732559,0,870.6,47.57771576,-0.889968675,0.000976104,918.4,1.093395945,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,1,1200,47,91,32.84127887,-4.426687287,0,1021.6,43.9065049,-0.829004464,0.027391769,1114,2.306108675,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,1,1500,47,450.4,15.43775563,-1.38844727,9.689661576,879,16.39612423,0.06564284,37.11065877,1327.6,77.07903187,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,1,1800,47,471.6,14.71262033,-0.767567254,55.53475703,868.2,11.52595036,0.467103351,120.2054881,1341,200.3839353,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,1,2000,47,463.4,15.23074992,-0.771439225,58.06969793,890.2,11.94349371,0.533711822,123.014906,1353.8,208.6999857,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,2,600,47,11.2,36.70124614,-1.147538449,0,543.4,48.62334832,-0.1247062,0,555,0.509078447,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,2,800,47,23.4,36.81891186,-1.442401887,0,709.4,47.65501293,-0.158421082,0,733.4,0.713163455,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,2,1000,47,39.6,35.70346638,-2.809910385,0,878.6,45.7996437,-0.143907667,0,918.8,1.19752144,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,2,1200,47,81.2,32.94201524,-3.840710617,0,1031.8,42.38267129,-0.124638197,0.028731352,1113,2.536184614,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,2,1500,47,363.6,18.47940122,-2.406084581,6.129729877,978,20.5170611,0.355890228,27.25620267,1339,62.43638644,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,2,1800,47,348.2,17.92427673,-1.432283963,42.32739033,1018.2,15.37535434,0.873839199,92.22037292,1368.2,181.2766247,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,2,2000,47,358.8,17.65783695,-1.426634516,50.62313995,1008.4,14.86128241,0.815961826,97.8123727,1366.4,191.5598666,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,3,600,47,9,36.33585703,-1.669857396,0,545.6,48.51612591,-0.074308636,0,555,0.579023977,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,3,800,47,20,36.65315187,-1.801082017,0,712.8,47.50604737,-0.03587426,0,733.6,0.79442224,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,3,1000,47,32.4,35.67327838,-2.21151733,0,885.8,45.742886,0.011891896,0,918.6,1.283646832,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,3,1200,47,70.8,32.58836974,-4.27581766,0,1041.6,41.73610899,0.080697516,0.022659266,1113.2,2.901553844,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,3,1500,47,300.6,21.05837959,-2.835207481,4.040304705,1053.8,22.52648785,0.519607543,18.1649336,1351.4,53.00195946,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,3,1800,47,300.2,19.69251588,-1.794058211,39.80399263,1073.6,17.05657917,0.987242624,79.22003234,1374.8,170.8333747,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,3,2000,47,277,20.26608031,-2.092629484,42.67366683,1102.2,18.05747545,1.157033711,82.10233594,1381.6,178.708941,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,4,600,47,9.4,36.33618435,-1.644238671,0,545.2,48.4639308,-0.044273133,0,555,0.603488365,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,4,800,47,20.6,36.51718583,-2.321018934,0,712.2,47.63223304,0.004572426,0,733.6,0.79657563,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,4,1000,47,31,34.9780189,-3.208159228,0,887.2,45.58401675,0.036601284,0,918.6,1.368153651,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,4,1200,47,66.6,33.12145828,-3.892063595,0,1046,41.81732799,0.091977626,0.002737933,1113.8,2.831578165,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,4,1500,47,284.6,20.60776727,-2.797253728,6.222121651,1060.4,22.41093899,0.572221205,23.17536894,1341,59.88198552,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,4,1800,47,265.6,20.18308784,-2.023413448,37.76323384,1111.2,18.56069775,1.166852335,77.66651298,1378.6,169.5908849,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,4,2000,47,252.8,20.97774936,-2.173916197,42.70761066,1125.4,19.09990837,1.246552291,79.41183355,1377.8,175.8644853,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,5,600,47,5.8,36.33932318,-0.519972615,0,548.8,48.07933436,0.329812262,0,555.2,0.649967477,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,5,800,47,12.2,36.34138895,-0.161698329,0,720.6,47.08731436,0.397887204,0,733.6,0.990910892,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,5,1000,47,18,35.02194458,-2.087438367,0,900.2,45.04416656,0.591042364,0,918.6,1.862765449,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,5,1200,47,39.2,32.7232583,-2.952339661,0,1073.4,41.46386385,0.869598884,0.000542372,1113.2,3.746595155,,,,,,,,,,
8 : AV-WZ-0.4SRF,0,0.01,0.9,0.1,5,1500,47,218.6,22.4265157,-2.987341229,1.053641267,1137,26.16557056,1.174947817,13.53479917,1354.6,45.95990503,,,,,,,,,,
