link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,7,2000,47,370.4,20.12881064390674,-2.0541719170446067,17.290054337627716,1034.6,17.006572386949,0.821792968456235,63.0704697639366,1405.6,151.5149619911007
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,8,600,47,9.2,36.95196709260655,-0.04018474918248405,0.0,545.4,48.71599804223278,0.2148164824986988,0.0,555.0,0.7808026861053964
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,8,800,47,14.0,37.28883600033667,-1.4956688594582221,0.0,718.8,47.885659516562,0.2906487989813407,0.0,733.4,1.1705087886750198
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,8,1000,47,24.4,35.74980070827185,-2.206170790508801,0.0,893.6,46.19532381367196,0.43255173986955475,0.0,918.6,1.921495564428945
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,8,1200,47,50.4,33.33607000227276,-2.7556839887236406,0.0,1062.8,42.13059836088427,0.6903279431068862,0.0013896176368274585,1113.6,4.3541631673578625
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,8,1500,47,188.6,26.213147563000707,-2.675089110808762,0.1533368300007959,1182.4,29.28539422036214,1.3340661404765037,5.327360526620674,1368.8,36.999034977549485
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,8,1800,47,282.0,22.25467793774541,-2.3451036925318376,4.987721676072893,1128.6,21.965095321235534,1.278317256764661,41.6510133354379,1409.8,121.87659162235548
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,8,2000,47,270.0,22.557975324693103,-2.437958048465336,6.388013265791722,1133.0,21.80258225248144,1.2699346693907938,44.79813268500071,1402.2,128.5037226903998
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,1,600,47,27.0,35.11699820504581,-4.085012660797896,0.0,527.6,48.88020623866227,-0.9301361104602706,0.0,555.0,0.9634454185157558
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,1,800,47,57.0,34.82167195058635,-4.472231874335129,0.0,675.8,47.11045020575515,-0.8591098609978017,0.0003298350824587704,732.6,1.4104586396297232
8 : AV-WZ-0.75SRF,0,0.01,0.8,0.2,1,1000,47,102.2,32.77615195359995,-4.755209855576583,0.0,816.0,43.32298979323253,-0.8580742965622546,0.007170532788831908,918.4,2.5673556363325094
