Summary Group , Total, unclassified,crossing,rear end,lane change
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_138.trj,3463,0,0,3170,293
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_139.trj,3488,0,1,3190,297
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_140.trj,3245,0,0,2995,250
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_147.trj,4,0,0,4,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_148.trj,1,0,0,0,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_151.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_153.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_154.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_155.trj,6,0,0,5,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_156.trj,5,0,0,5,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_157.trj,10,0,0,9,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_158.trj,8,0,0,7,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_159.trj,4,0,0,4,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_160.trj,10,0,0,8,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_161.trj,48,0,0,40,8
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_162.trj,233,0,0,202,31
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_163.trj,301,0,0,256,45
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_164.trj,130,0,0,108,22
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_165.trj,338,0,0,282,56
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_166.trj,2561,0,0,2350,211
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_167.trj,2585,0,0,2369,216
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_168.trj,2389,0,0,2176,213
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_169.trj,2785,0,0,2548,237
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_170.trj,2599,0,0,2372,227
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_171.trj,2760,0,0,2564,196
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_172.trj,2621,0,0,2375,246
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_173.trj,2760,0,0,2532,228
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_174.trj,2957,0,0,2742,215
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_175.trj,2646,0,0,2409,237
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_186.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_188.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_189.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_190.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_192.trj,4,0,0,3,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_193.trj,4,0,0,3,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_194.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_195.trj,4,0,0,3,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_196.trj,14,0,0,12,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_197.trj,194,0,0,171,23
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_198.trj,333,0,0,288,45
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_199.trj,60,0,0,54,6
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_200.trj,82,0,0,64,18
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_201.trj,2008,0,0,1781,227
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_202.trj,2288,0,0,2023,265
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_203.trj,1926,0,1,1722,203
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_204.trj,2014,0,0,1748,266
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_205.trj,1970,0,0,1738,232
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_206.trj,2313,0,0,2050,263
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_207.trj,1972,0,0,1760,212
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_208.trj,2240,0,0,2001,239
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_209.trj,1885,0,0,1681,204
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_210.trj,2252,0,0,1986,266
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_221.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_222.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_227.trj,4,0,0,3,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_228.trj,7,0,0,6,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_229.trj,4,0,0,2,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_1\AV_Lane_Change_Compliance_Ablation_230.trj,2,0,0,2,0
