link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,MPR,truck,Distr.,Volume,TTCs,,,
7 : AV-WZ,0,0.01,0.9,0.1,7,1500,47,242.2,23.60742559,-3.213336949,0.759796381,1121.6,25.30142105,0.881159283,9.498005156,1362.2,41.51522904,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,7,1800,47,265.4,21.68988356,-2.558990203,15.57375391,1133.8,20.90835265,1.157066892,54.94603769,1398.6,140.7707462,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,7,2000,47,254.4,22.19856243,-2.505810175,17.99238551,1140.8,21.37133501,1.211971117,58.82487234,1398.2,148.4516333,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,8,600,47,8.2,36.57645279,-0.990487033,0,546.4,48.71788182,0.244812384,0,555,0.789629796,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,8,800,47,10.6,36.89004041,-2.083965202,0,722.2,47.9285508,0.388812463,0,733.4,1.228712169,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,8,1000,47,20.8,35.74785319,-1.472402638,0,897.2,46.29541631,0.558867653,0,918.6,2.048171365,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,8,1200,47,36.6,34.02742724,-2.090056787,0,1076.6,43.0072459,0.794407649,0.027927622,1113.6,4.359890044,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,8,1500,47,133.8,27.71661137,-2.592707694,0.442780753,1232.2,31.16050149,1.493123455,5.905688441,1364.8,38.91634378,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,8,1800,47,169,25.46537033,-2.563913391,6.226364568,1226.2,26.72986076,1.645658226,32.27072067,1395,114.7323926,,,,,,,,,
7 : AV-WZ,0,0.01,0.9,0.1,8,2000,47,165.6,25.75829703,-2.744273082,6.904062902,1228.4,26.93149989,1.657237554,36.06397231,1393.6,120.0773285,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,1,600,47,23.2,35.23014372,-4.258239085,0,531.4,49.06252909,-1.010408834,0,555,0.927246467,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,1,800,47,42.6,35.66503209,-3.534289972,0,690.4,47.83724742,-0.852234092,0,733.2,1.091651078,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,1,1000,47,80.4,33.48323959,-4.499747452,0,837.8,44.8072155,-0.868522932,0.010940935,918.6,1.972767661,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,1,1200,47,200.4,27.39007631,-4.853693759,0.076290766,911,36.48586779,-0.917842621,0.33661897,1111.2,6.379644572,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,1,1500,47,576,10.24004196,-0.550451664,39.87349645,656,8.385525178,0.107143078,110.0466495,1229.6,174.2854914,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,1,1800,47,571.4,11.17757381,-0.499203801,57.15914999,679.4,8.611028686,0.159122831,141.1472171,1251,218.205573,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,1,2000,47,579.4,10.53527861,-0.417509066,63.58527757,658.2,8.159848504,0.12159958,158.7583246,1238,234.0489642,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,2,600,47,18.6,36.24259079,-2.031892241,0,536,48.30188511,-0.168879649,0,555,0.639481149,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,2,800,47,30.8,35.41203318,-3.028383466,0,702,47.03732696,-0.13784265,0.000171674,733.2,0.930638644,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,2,1000,47,64.2,34.2574269,-3.894613436,0,854,44.52033222,-0.240527305,0.005323773,918.4,1.719267677,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,2,1200,47,156.6,28.27166645,-4.820446533,0.00372093,953.8,37.03649314,-0.393242255,0.324827705,1109.2,5.981320644,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,2,1500,47,507.4,13.07455674,-0.800484144,26.64344555,751.2,10.59845429,0.271065226,85.82141302,1258.2,154.2239874,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,2,1800,47,517.8,13.04073529,-0.688678472,45.42217449,747.8,9.970319034,0.200921989,118.6429879,1266.8,201.5825905,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,2,2000,47,513.2,12.84428599,-0.680682614,51.27570636,742,10.24567751,0.298488138,131.1718249,1255.8,215.12929,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,600,47,17,35.85184899,-2.347266353,0,537.6,48.08748079,-0.117809495,0,555,0.725707224,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,800,47,28.6,35.88650545,-3.041604372,0,704.2,46.96248884,-0.041715758,0,733.4,0.989517739,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,1000,47,53,34.55345833,-3.809768685,0,865.2,44.52461237,-0.069206057,0.001512738,918.6,1.813679837,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,1200,47,124.2,30.40187327,-4.900341554,0,987.6,38.18395887,-0.146429495,0.08702952,1111.8,4.810605097,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,1500,47,473.8,14.89334466,-1.225183281,19.07032609,800.4,11.86340185,0.268880509,66.61720976,1273.8,131.4233496,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,1800,47,454,15.01047416,-1.036478262,39.94770845,823.8,12.13228638,0.407676861,105.1926746,1278.8,191.5271042,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,2000,47,442.2,15.68033681,-1.114366908,39.30438119,845.2,12.1801702,0.407314883,100.8478068,1288,192.1562682,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,600,47,16.4,36.01314953,-2.366899141,0,538.2,48.10322581,-0.110297885,0,555,0.717378787,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,800,47,27.2,35.72076693,-2.946604792,0,705.6,46.86790918,-0.022429679,0.000733427,733.4,1.048580712,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,1000,47,48.6,34.23107322,-3.843940196,0,869.6,44.43174257,0.009931009,0.000368239,918.6,1.781049887,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,1200,47,127.6,29.37882542,-4.700995722,0.005759162,982,38.02456446,-0.050580639,0.257627223,1109.6,5.400720567,,,,,,,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,1500,47,455.8,14.78845603,-1.091633874,21.03455788,818.8,12.49071092,0.448634158,76.06748875,1274.2,148.5438549,,,,,,,,,
